AppID,Title,List,ReleaseDate,WindowStart,Shifted,ReleaseScore,ReleasePositive,ReleaseNegative,ReleaseTotal,Capped,LatestScore,LatestTotal,LatestPositive,LatestNegative,Reason
292030,The Witcher 3: Wild Hunt,paid,2015-05-18,2015-05-18,False,97,11621,379,12000,True,97,870346,842313,28033,
4000,Garry's Mod,paid,2006-11-29,2013-11-25,True,98,11743,257,12000,True,97,1239070,1200172,38898,pre-2013: window shifted to Steam-reviews launch
550,Left 4 Dead 2,paid,2009-11-16,2013-11-25,True,98,11802,198,12000,True,98,1035396,1009800,25596,pre-2013: window shifted to Steam-reviews launch
489830,The Elder Scrolls V: Skyrim SE,paid,2016-10-27,2016-10-27,False,89,10652,1348,12000,True,92,366776,338764,28012,
72850,The Elder Scrolls V: Skyrim,paid,2011-11-10,2013-11-25,True,98,11791,209,12000,True,95,317628,301094,16534,pre-2013: window shifted to Steam-reviews launch
252490,Rust,paid,2018-02-08,2018-02-08,False,79,8244,2182,10426,False,87,1364758,1186668,178090,
1085660,Destiny 2 (Paid Legacy Pack),paid,2019-10-01,2019-10-01,False,86,10353,1647,12000,True,77,649683,503401,146282,
2358720,Black Myth: Wukong,paid,2024-08-19,2024-08-19,False,99,11856,142,11998,True,97,1200395,1158840,41555,
553850,HELLDIVERS 2,paid,2024-02-08,2024-02-08,False,90,10806,1192,11998,True,75,1144238,859190,285048,
1623730,Palworld,paid,2024-01-18,2024-01-18,False,91,10967,1033,12000,True,94,421537,397296,24241,
1063730,New World: Aeternum,paid,2021-09-28,2021-09-28,False,59,7050,4950,12000,True,67,296658,198720,97938,
221100,DayZ,paid,2018-12-13,2018-12-13,False,43,3751,5017,8768,False,78,461470,358464,103006,
1172620,Sea of Thieves,paid,2020-06-03,2020-06-03,False,86,10339,1661,12000,True,89,369241,327606,41635,
284160,BeamNG.drive,paid,2015-05-29,2015-05-29,False,92,928,81,1009,False,97,396226,386085,10141,
548430,Deep Rock Galactic,paid,2020-05-13,2020-05-13,False,97,10660,312,10972,False,97,376245,365574,10671,
275850,No Man's Sky,paid,2016-08-12,2016-08-12,False,43,5126,6874,12000,True,85,407874,346151,61723,
1118200,People Playground,paid,2019-07-23,2019-07-23,False,97,339,9,348,False,98,312408,307642,4766,
374320,DARK SOULS III,paid,2016-04-11,2016-04-11,False,88,10529,1471,12000,True,94,435728,411080,24648,
1145360,Hades,paid,2020-09-17,2020-09-17,False,99,11926,74,12000,True,98,303825,297878,5947,
1794680,Vampire Survivors,paid,2022-10-20,2022-10-20,False,98,11768,231,11999,True,98,262548,258207,4341,
394360,Hearts of Iron IV,paid,2016-06-06,2016-06-06,False,84,3020,591,3611,False,90,366120,330305,35815,
391540,Undertale,paid,2015-09-15,2015-09-15,False,98,11812,188,12000,True,96,324062,312707,11355,
1237970,Titanfall 2,paid,2020-06-18,2020-06-18,False,96,11476,524,12000,True,96,280245,267935,12310,
976730,Halo: The Master Chief Collection,paid,2019-12-03,2019-12-03,False,91,10899,1101,12000,True,92,258699,238094,20605,
1238810,Battlefield V,paid,2020-10-22,2020-10-22,False,73,4798,1780,6578,False,71,266187,188075,78112,
632360,Risk of Rain 2,paid,2020-08-11,2020-08-11,False,96,11555,445,12000,True,94,347777,326159,21618,
1551360,Forza Horizon 5,paid,2021-11-08,2021-11-08,False,89,10732,1266,11998,True,89,273734,243998,29736,
49520,Borderlands 2,paid,2012-09-17,2013-11-25,True,97,11692,308,12000,True,89,310839,278158,32681,pre-2013: window shifted to Steam-reviews launch
526870,Satisfactory,paid,2024-09-10,2024-09-10,False,100,11944,54,11998,True,97,270865,263451,7414,
1426210,It Takes Two,paid,2021-03-25,2021-03-25,False,96,11465,535,12000,True,95,261176,249184,11992,
294100,RimWorld,paid,2018-10-17,2018-10-17,False,99,9018,129,9147,False,98,240021,234936,5085,
782330,DOOM Eternal,paid,2020-03-19,2020-03-19,False,75,8941,3059,12000,True,91,214838,196310,18528,
427520,Factorio,paid,2020-08-14,2020-08-14,False,99,11089,163,11252,False,98,229844,224112,5732,
435150,Divinity: Original Sin 2,paid,2017-09-14,2017-09-14,False,96,11529,471,12000,True,96,202950,194191,8759,
268910,Cuphead,paid,2017-09-29,2017-09-29,False,98,11699,299,11998,True,96,210113,202189,7924,
203160,Tomb Raider,paid,2013-03-04,2013-11-25,True,97,6113,213,6326,False,96,265325,254828,10497,pre-2013: window shifted to Steam-reviews launch
646570,Slay the Spire,paid,2019-01-23,2019-01-23,False,97,2598,86,2684,False,98,213141,207970,5171,
12210,Grand Theft Auto IV: Complete,paid,2020-03-24,2020-03-24,False,79,4410,1181,5591,False,83,195734,162747,32987,
518790,theHunter: Call of the Wild,paid,2017-02-16,2017-02-16,False,76,2528,796,3324,False,89,197517,175959,21558,
534380,Dying Light 2 Stay Human,paid,2022-02-03,2022-02-03,False,74,8918,3082,12000,True,79,213404,168858,44546,
588650,Dead Cells,paid,2018-08-06,2018-08-06,False,93,2738,203,2941,False,97,180271,174947,5324,
1229490,ULTRAKILL,paid,2020-09-03,2020-09-03,False,98,3504,56,3560,False,97,230464,224496,5968,
311210,Call of Duty: Black Ops III,paid,2015-11-05,2015-11-05,False,62,7496,4504,12000,True,85,229247,194791,34456,
1332010,Stray,paid,2022-07-19,2022-07-19,False,97,11586,413,11999,True,97,172377,167579,4798,
48700,Mount & Blade: Warband,paid,2010-03-31,2013-11-25,True,99,2359,28,2387,False,98,170980,167086,3894,pre-2013: window shifted to Steam-reviews launch
306130,The Elder Scrolls Online,paid,2017-05-22,2017-05-22,False,78,1425,399,1824,False,81,160044,129570,30474,
244210,Assetto Corsa,paid,2014-12-19,2014-12-19,False,88,1005,133,1138,False,93,169914,157705,12209,
2183900,Warhammer 40k: Space Marine 2,paid,2024-09-09,2024-09-09,False,96,11573,427,12000,True,84,211931,177356,34575,
