group,metric,n,mean,sd,median,q1,q3,min,max,skew
Free-to-play,n_months,47,106.63829787234043,42.30604105897001,112.0,68.5,141.5,20.0,166.0,-0.28845371262505237
Free-to-play,peak_avg,47,114397.45000000001,305764.8165000144,7216.47,3566.665,54809.130000000005,103.96,1584886.77,3.5058378478976717
Free-to-play,recent_avg,47,46420.43221631205,165475.69527223322,814.5216666666666,146.86416666666668,7330.76125,2.641666666666666,995213.4233333335,4.69179905633697
Free-to-play,retention_ratio,47,0.2721247726717805,0.2892160000067808,0.14990330842000732,0.027099819147417967,0.4470078407594451,0.0006731267762917183,0.8905574296501634,0.8552418594433255
Free-to-play,peak_position,47,0.2778258880587809,0.32984906663572433,0.12686567164179105,0.003787878787878788,0.39464882943143814,0.0,0.9754601226993865,0.9647276050413928
Free-to-play,months_above_half_peak,47,0.2236812017673764,0.26850580918120565,0.08620689655172414,0.026333907056798625,0.3312117503059976,0.007936507936507936,1.0,1.4389341052252893
Paid,n_months,50,104.22,44.09187532173876,113.0,71.0,139.0,20.0,166.0,-0.19175442085154368
Paid,peak_avg,50,95212.5876,212256.12722657635,31716.72,20039.767499999998,59489.307499999995,4401.87,1146059.88,3.999716486424942
Paid,recent_avg,50,14676.990816666665,18755.40652488767,8580.954583333332,3805.189375,18465.059999999998,498.18416666666667,104090.64166666668,2.8164323696396663
Paid,retention_ratio,50,0.32986701933784685,0.25327489900603595,0.28133591816707426,0.1458426007881316,0.5093435591841438,0.012982043907198216,0.9185780995590148,0.768134917731992
Paid,peak_position,50,0.3816166482247641,0.3786012239914905,0.32261904761904764,0.0,0.7354215456674473,0.0,0.9850746268656716,0.2824591213847423
Paid,months_above_half_peak,50,0.16669908524893637,0.1904923657253272,0.08932783018867924,0.025724275724275724,0.24375160215329403,0.008264462809917356,0.8373493975903614,1.6427242454986646
